ntopic,frequency
1,553
2,467
3,433
4,420
5,399
6,363
7,361
8,339
9,325
10,308
11,288
12,270
13,265
14,261
15,247
16,237
17,220
18,215
19,207
20,197
21,182
22,172
23,171
24,161
25,159
26,131
27,126
28,117
29,115
30,82
