ntopic,frequency
0,443
1,414
2,393
3,344
4,341
5,335
6,333
7,240
8,238
9,232
10,218
11,213
12,204
13,202
14,192
15,181
16,179
17,177
18,177
19,166
20,155
21,155
22,155
23,152
24,145
25,134
26,132
27,130
28,126
29,121
30,120
31,105
32,104
33,96
34,96
35,93
36,77
37,72
38,72
39,51
